episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -10005.164565563202, 2, 23.98303343600128, 1186, 25607,                                             25607, 6.351054668426514, 158.40716552734375
2, -347883.19297999144, 2, 1415.4962517929962, 70769, 96376,                                             96376, 6.830727577209473, 353.48968505859375
3, -28050.00538253784, 2, 157.29126848396845, 7832, 104208,                                             104208, 7.43705940246582, 423.1565246582031
4, -4294.618792772293, 2, 12.73220304097049, 620, 104828,                                             104828, 7.340188503265381, 424.1598205566406
5, -17709.397973954678, 2, 112.00441398308612, 5635, 110463,                                             110463, 7.350269794464111, 424.4703063964844
6, -5442.96252989769, 2, 15.33973328396678, 739, 111202,                                             111202, 7.506972789764404, 424.4654235839844
7, -7435.167036890984, 2, 38.413211829029024, 1891, 113093,                                             113093, 7.324666976928711, 426.7521667480469
8, -5569.09875702858, 2, 14.334342107991688, 715, 113808,                                             113808, 7.656448841094971, 427.7996826171875
9, -7974.458794891834, 2, 44.626960334018804, 2157, 115965,                                             115965, 7.889989376068115, 427.1217346191406
10, -6094.045306921005, 2, 23.353651167009957, 1135, 117100,                                             117100, 8.163680076599121, 428.52557373046875
11, -3627.463854253292, 2, 11.04454747599084, 547, 117647,                                             117647, 8.20753002166748, 430.1799621582031
12, -5277.177729606628, 2, 16.544735413976014, 788, 118435,                                             118435, 7.599545478820801, 428.191162109375
13, 1394.3250962346792, 1, 13.554939505993389, 658, 119093,                                             119093, 8.482892036437988, 433.2194519042969
14, 316.29258465766907, 1, 23.758624776033685, 1139, 120232,                                             120232, 8.837528228759766, 430.0869445800781
15, -3317.207700431347, 1, 54.458394203102216, 2666, 122898,                                             122898, 8.092923164367676, 429.2960510253906
16, 1323.096133172512, 1, 14.535193935967982, 698, 123596,                                             123596, 8.260309219360352, 424.85076904296875
17, 664.8587822914124, 1, 20.368980640079826, 994, 124590,                                             124590, 8.786314964294434, 425.66290283203125
18, -24083.18289554119, 1, 219.42496029194444, 10954, 135544,                                             135544, 8.024338722229004, 418.98175048828125
19, 1619.3864114284515, 1, 11.54259558301419, 561, 136105,                                             136105, 7.86062479019165, 411.72119140625
20, 552.24578166008, 1, 18.349916137987748, 912, 137017,                                             137017, 7.619655132293701, 411.5728454589844
21, 1278.013727515936, 1, 16.47563753509894, 818, 137835,                                             137835, 8.560276985168457, 412.9064025878906
22, 749.7276081442833, 1, 17.344255033065565, 835, 138670,                                             138670, 7.822675704956055, 411.3691101074219
23, 1106.9668153822422, 1, 15.55693748604972, 769, 139439,                                             139439, 7.339509010314941, 408.55322265625
